anno_acc,id_ateneo,id_laurea,zona,regione,ateneo,tipologia,durata,laurea,codice_classe,nome_classe,isc_1anno,isc_totali,url_corso
2022/2023,07201,1580186,SUD,PUGLIA,Bari,triennale,3,scienze dei beni culturali,NA,beni culturali,145,513,https://www.uniba.it/corsi/scienze-beni-culturali
2022/2023,07201,1579044,SUD,PUGLIA,Bari,triennale,3,"dams - discipline dell'audiovisivo, della musica e dello spettacolo",NA,"discipline delle arti figurative, della musica, dello spettacolo e della moda",NA,NA,NA
2022/2023,07201,1584060,SUD,PUGLIA,Bari,triennale,3,filosofia,NA,filosofia,103,291,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/scheda-corso-filosofia
2022/2023,07201,1582539,SUD,PUGLIA,Bari,triennale,3,lettere,NA,lettere,454,1780,https://manageweb.ict.uniba.it/ricerca/dipartimenti/lelia/offerta-formativa/schede-dei-corsi/corso-lettere
2022/2023,07201,1579725,SUD,PUGLIA,Bari,triennale,3,"lingue, culture e letterature moderne",NA,lingue e culture moderne,143,390,https://www.uniba.it/ricerca/dipartimenti/dirium/didattica/corsi-di-laurea-1/schede-corsi/copy_of_corso-lingue-culture-letterature-moderne
2022/2023,07201,1579726,SUD,PUGLIA,Bari,triennale,3,lingue e culture per il turismo e la mediazione internazionale,NA,mediazione linguistica,731,1816,https://www.uniba.it/corsi/lingue-culture-turismo-mediazione-internazionale
2022/2023,07201,1584095,SUD,PUGLIA,Bari,triennale,3,scienze dei servizi giuridici,NA,scienze dei servizi giuridici,70,284,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/laurea-in-scienze-dei-servizi-giuridici-ssg
2022/2023,07201,1584094,SUD,PUGLIA,Bari,triennale,3,consulente del lavoro e operatore di impresa,NA,scienze dei servizi giuridici,NA,NA,https://www.uniba.it/ricerca/dipartimenti/lex/didattica/programmazione-didattica/corsi-di-studio-regolamenti-didattici-e-programmi-a-a-2022-2023/consulente-del-lavoro-e-operatore-di-impresa-conslav
2022/2023,07201,1583260,SUD,PUGLIA,Bari,triennale,3,"scienze giuridiche per l'immigrazione, i diritti umani e l'interculturalità",NA,scienze dei servizi giuridici,NA,NA,https://www.uniba.it/corsi/scienze-giuridiche-immigrazione-diritti-umani-e-interculturalita/jonico
2022/2023,07201,1579841,SUD,PUGLIA,Bari,triennale,3,"scienze politiche, economiche e amministrative",NA,scienze dell'amministrazione e dell'organizzazione,NA,NA,http://www.uniba.it/ricerca/dipartimenti/scienze-politiche/didattica/corsi-di-laurea/spea
2022/2023,07201,1584322,SUD,PUGLIA,Bari,triennale,3,economia aziendale,NA,scienze dell'economia e della gestione aziendale,230,854,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-aziendale-br
2022/2023,07201,1584321,SUD,PUGLIA,Bari,triennale,3,economia aziendale,NA,scienze dell'economia e della gestione aziendale,230,854,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/economia-aziendale
2022/2023,07201,1583261,SUD,PUGLIA,Bari,triennale,3,economia e amministrazione delle aziende,NA,scienze dell'economia e della gestione aziendale,174,560,https://www.uniba.it/corsi/economia-amministrazione-aziende/
2022/2023,07201,1583747,SUD,PUGLIA,Bari,triennale,3,marketing e comunicazione d'azienda,NA,scienze dell'economia e della gestione aziendale,435,1412,https://manageweb.ict.uniba.it/ricerca/dipartimenti/demdi/didattica/corsi/corso-di-laurea-triennale-marketing-comunicazione-dazienda
2022/2023,07201,1581841,SUD,PUGLIA,Bari,triennale,3,scienze e tecnologie del territorio e dell'ambiente agro-forestale,NA,scienze e tecnologie agrarie e forestali,NA,NA,https://w3.uniba.it/ricerca/dipartimenti/disaat/didattica/off/offerta-formativa-2022-2023/staf/corso-staf-di.s.a.a.t.
2022/2023,07201,1583262,SUD,PUGLIA,Bari,triennale,3,scienze e gestione delle attività marittime,NA,scienze e tecnologie della navigazione,223,615,https://www.uniba.it/corsi/scienze-gestione-attivita-marittime/?_authenticator=25fd4e23aceda66339d065e96ea9d641c7c4bc0a
2022/2023,07201,1584065,SUD,PUGLIA,Bari,triennale,3,fisica,NA,scienze e tecnologie fisiche,94,295,https://manageweb.ict.uniba.it/ricerca/dipartimenti/fisica/didattica-1/fisica
2022/2023,07201,1584067,SUD,PUGLIA,Bari,triennale,3,scienza e tecnologia dei materiali,NA,scienze e tecnologie fisiche,NA,NA,http://www.uniba.it/ricerca/dipartimenti/fisica/didattica-1/scienza-tecnologia-materiali
2022/2023,07201,1579183,SUD,PUGLIA,Bari,triennale,3,informatica,NA,scienze e tecnologie informatiche,316,1012,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-270/laurea-triennale-in-informatica-d.m.-270-1
2022/2023,07201,1579184,SUD,PUGLIA,Bari,triennale,3,informatica e comunicazione digitale,NA,scienze e tecnologie informatiche,85,271,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-icd-taranto-270/laurea-triennale-in-informatica-e-comunicazione-digitale-sede-di-taranto-d.m.-270
2022/2023,07201,1579182,SUD,PUGLIA,Bari,triennale,3,informatica e tecnologie per la produzione del software,NA,scienze e tecnologie informatiche,247,903,https://www.uniba.it/ricerca/dipartimenti/informatica/didattica/corsi-di-laurea/informatica-tps-270/laurea-triennale-in-informatica-e-tecnologie-per-la-produzione-del-software-d.m.-270
2022/2023,07201,1584062,SUD,PUGLIA,Bari,triennale,3,scienze ambientali,NA,scienze e tecnologie per l'ambiente e la natura,18,67,https://www.uniba.it/corsi/scienze-ambientali
2022/2023,07201,1582688,SUD,PUGLIA,Bari,triennale,3,scienze della natura,NA,scienze e tecnologie per l'ambiente e la natura,113,216,https://www.uniba.it/ricerca/dipartimenti/biologia/didattica-corsi-di-studio/corsi/scienze-della-natura/scienze-della-natura
2022/2023,07201,1583526,SUD,PUGLIA,Bari,triennale,3,economia e commercio,NA,scienze economiche,366,1339,https://manageweb.ict.uniba.it/ricerca/dipartimenti/dse/didattica/schede-dei-corsi/economia-e-commercio
2022/2023,07201,1584069,SUD,PUGLIA,Bari,triennale,3,scienze geologiche,NA,scienze geologiche,NA,NA,http://www.scienzegeologiche.uniba.it
